,id,imdb_id,Title,genres,keywords,overview,director,actors
248,404368,tt5848272,Ralph Breaks the Internet,Family Animation Comedy Adventure,videogame cartoon sequel internet lethalvirus aftercreditsstinger duringcreditsstinger onlinegaming,Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game Sugar Rush In way over their heads Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way including an entrepreneur named Yesss who is the head algorithm and the heart and soul of trend-making site BuzzzTube,RichMoore PhilJohnston,JohnC.Reilly SarahSilverman GalGadot
249,480530,tt6343314,Creed II,Drama Action,"sports sequel rivalry losangeles,california boxing dedicated boxring ukraine",Between personal obligations and training for his next big fight against an opponent with ties to his family's past Adonis Creed is up against the challenge of his life,StevenCapleJr.,MichaelB.Jordan SylvesterStallone TessaThompson
250,375588,tt4532826,Robin Hood,Adventure Action Thriller,sheriff robinhood archer thief steampunk nottingham sherwoodforest middleages medieval hoodie,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown,OttoBathurst,TaronEgerton JamieFoxx BenMendelsohn
251,426426,tt6155172,Roma,Drama,"1970s mexicocity,mexico middleclass familyrelationships blackandwhite maid autobiographical masterservantrelationship domesticworker",In 1970s Mexico City two domestic workers help a mother of four while her husband is away for an extended period of time,AlfonsoCuarón,YalitzaAparicio MarinadeTavira FernandoGrediaga
252,375262,tt5083738,The Favourite,Drama Comedy Thriller,greatbritain queen rivalry rabbit lgbt 18thcentury cousincousinrelationship duchess palaceintrigue aristocracy britishmonarchy warofthespanishsuccession dropdisease queenanne,England early 18th century The close relationship between Queen Anne and Sarah Churchill is threatened by the arrival of Sarah's cousin Abigail Hill resulting in a bitter rivalry between the two cousins to be the Queen's favourite,YorgosLanthimos,OliviaColman EmmaStone RachelWeisz
253,407436,tt2388771,Mowgli: Legend of the Jungle,Adventure Drama,hunter basedonnovelorbook wolf tiger bear comingofage jungle anthropomorphism python liveactionremake,A human child raised by wolves must face off against a menacing tiger named Shere Khan as well as his own origins,AndySerkis,RohanChand ChristianBale CateBlanchett
254,434555,tt5734576,The Possession of Hannah Grace,Horror Drama,rehabilitation cop morgue drugrehabilitation hospital corpse policeofficer entity graveyardshift,When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue she faces a series of bizarre violent events caused by an evil entity in one of the corpses,DiederikvanRooijen,ShayMitchell GreyDamon KirbyJohnson
255,461928,tt6433880,Anna and the Apocalypse,Horror Comedy Fantasy,dancing musical remake apocalypse zombie singing christmashorror zombieapocalypse youngadult christmas,A zombie apocalypse threatens the sleepy town of Little Haven – at Christmas – forcing Anna and her friends to fight slash and sing their way to survival facing the undead in a desperate race to reach their loved ones But they soon discover that no one is safe in this new world and with civilization falling apart around them the only people they can truly rely on are each other,JohnMcPhail,EllaHunt MalcolmCumming MarliSiu
256,517814,tt8267604,Capernaum,Drama,slum childabuse refugee neglect lawsuit childbride undocumentedimmigrant poverty lifeintheslums slumdwellers,Zain a 12-year-old boy scrambling to survive on the streets of Beirut sues his parents for having brought him into such an unjust world where being a refugee with no documents means that your rights can easily be denied,NadineLabaki,ZainAlRafeea YordanosShiferaw BoluwatifeTreasureBankole
257,566556,tt5963066,The Cabin,Thriller Horror,vacation couple remote compulsiveliar,When a couple visit a remote cabin and cross paths with a compulsive liar their vacation takes a dramatic turn for the worse,JohanBodell,ChristopherLeePage CaitlinCrommett ErikKammerland
258,457136,tt2328900,Mary Queen of Scots,Drama History,scotland basedonnovelorbook cousin royalfamily biography queenelizabethi tudor femaleprisoner cousincousinrelationship womandirector 16thcentury britishmonarchy houseofstuart,In 1561 Mary Stuart widow of the King of France returns to Scotland reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England because she has a legitimate claim to the English throne Betrayals rebellions conspiracies and their own life choices imperil both Queens They experience the bitter cost of power until their tragic fate is finally fulfilled,JosieRourke,SaoirseRonan MargotRobbie JackLowden
259,492452,tt7545524,Ben Is Back,Drama,"drugaddiction drugrehabilitation yonkers,newyork christmas mothersonrelationship stolendog",19-year-old Ben Burns unexpectedly returns home to his family's suburban home on Christmas Eve morning Ben's mother Holly is relieved and welcoming but wary of her son staying clean Over a turbulent 24 hours new truths are revealed and a mother's undying love for her son is tested as she does everything in her power to keep him safe,PeterHedges,LucasHedges JuliaRoberts KathrynNewton
260,324857,tt4633694,Spider-Man: Into the Spider-Verse,Action Adventure Animation ScienceFiction,superhero basedoncomic aftercreditsstinger alternateuniverse,"Struggling to find his place in the world while juggling school and family Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man While wrestling with the implications of his new abilities Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk causing others from across the Spider-Verse to be inadvertently transported to his dimension",BobPersichetti PeterRamsey RodneyRothman,ShameikMoore JakeJohnson HaileeSteinfeld
